,Name,Count,Cluster
0,DOUGH,274,1
1,VANILLA,237,1
2,PAN,214,1
3,HEAT,159,1
4,EGG,158,1
5,CHOCOLATE,156,1
6,ICE,120,1
7,STIR,119,1
8,COOL,113,1
9,CINNAMON,108,1
10,CHEESE,106,1
11,POUR,99,1
12,TEA,96,1
13,COCONUT,95,1
14,SMOOTH,90,1
15,PIE,89,1
16,CRUST,88,1
17,SIDE,88,1
18,SHEET,84,1
19,PREHEAT,84,1
20,WHISK,84,1
21,TOGETHER,82,1
22,SYRUP,76,1
23,COVER,74,1
24,EVENLY,73,1
25,SPRINKLE,71,1
26,CREAMY,69,1
27,CENTER,67,1
28,BEAT,65,1
29,PAPER,65,1
30,ROLL,63,1
31,RACK,62,1
32,PARCHMENT,61,1
33,YEAST,61,1
34,SODA,60,1
35,FRUIT,60,1
36,PEANUT,58,1
37,WARM,56,1
38,GENTLY,56,1
39,ALLOW,56,1
40,HIGH,55,1
41,TRANSFER,54,1
42,GOLDEN,54,1
43,SURFACE,53,1
44,BOTTOM,52,1
45,BATTER,52,1
46,COMPLETELY,51,1
47,HONEY,50,1
48,WHIPPED,47,1
49,STIRRING,47,1
50,PUMPKIN,47,1
51,TOPPING,47,1
52,GINGER,46,1
53,MIXER,46,1
54,CHIP,45,1
55,SLIGHTLY,44,1
56,LEMON,43,1
57,MELTED,43,1
58,TURN,43,1
59,ONTO,42,1
60,PIZZA,42,1
61,TILL,42,1
62,PLASTIC,41,1
63,REFRIGERATOR,40,1
64,CARAMEL,39,1
65,WRAP,39,1
66,CAKE,38,1
67,DONT,37,1
68,FOLD,36,1
69,DAY,36,1
70,COCOA,35,1
71,SPEED,34,1
72,SURE,34,1
73,STAND,34,1
74,SAUCEPAN,34,1
75,BLEND,34,1
76,BLENDER,33,1
77,DESSERT,33,1
78,THICK,33,1
79,DESIRED,33,1
80,AROUND,32,1
81,READY,32,1
82,MAPLE,32,1
83,FORM,32,1
84,SKILLET,31,1
85,FOIL,31,1
86,LINE,31,1
87,SKIPPY,30,1
88,FROSTING,30,1
89,CAREFULLY,29,1
90,PUT,29,1
91,BOIL,29,1
92,ALMOND,29,1
93,WORK,29,1
94,CHILL,28,1
95,CRACKER,28,1
96,STRAWBERRY,28,1
97,HOUR,28,1
98,MICROWAVE,28,1
99,RICE,27,1
100,GRAHAM,27,1
101,UNSWEETENED,27,1
102,CORN,27,1
103,CLEAN,27,1
104,PROCESSOR,27,1
105,MUFFIN,26,1
106,RISE,26,1
107,FREEZE,26,1
108,DRIZZLE,26,1
109,JAM,26,1
110,FORK,25,1
111,EASY,25,1
112,COLD,25,1
113,NUTMEG,25,1
114,MELT,25,1
115,BANANA,25,1
116,DAIRY,25,1
117,WET,25,1
118,KNEAD,25,1
119,CIRCLE,25,1
120,GLUTEN,24,1
121,WIRE,24,1
122,IMMEDIATELY,24,1
123,REFRIGERATE,24,1
124,PUDDING,24,1
125,SIMPLE,23,1
126,VODKA,23,1
127,GARNISH,23,1
128,LINED,23,1
129,PROCESS,23,1
130,OVERNIGHT,23,1
131,LAYER,23,1
132,CHECK,22,1
133,BROWNIE,22,1
134,ROLLING,22,1
135,REDUCE,22,1
136,BASE,22,1
137,BOILING,22,1
138,APPLE,22,1
139,STICKY,22,1
140,TOWEL,22,1
141,FILL,21,1
142,BLENDED,21,1
143,GREASE,21,1
144,EDGE,21,1
145,CHEESECAKE,21,1
146,CHALLAH,21,1
147,FULL,21,1
148,TOAST,19,1
149,MINUTE,19,1
150,COVERED,19,1
151,TEXTURE,19,1
152,FREEZER,19,1
153,BIT,19,1
154,FIRM,19,1
155,LOAF,19,1
156,CORNSTARCH,19,1
157,THOROUGHLY,18,1
158,ENJOY,18,1
159,BRULEE,18,1
160,ROUND,18,1
161,ARRANGE,18,1
162,SOUR,18,1
163,TIP,18,1
164,SLOWLY,18,1
165,SEMI,18,1
166,VEGETABLE,18,1
167,PULSE,18,1
168,STORE,17,1
169,GARLIC,17,1
170,LE,17,1
171,BRUSH,17,1
172,TRIANGLE,17,1
173,FLUFFY,17,1
174,PERFECT,17,1
175,PREPARE,17,1
176,BALL,17,1
177,ACTIVE,17,1
178,X,17,1
179,DOUBLE,16,1
180,POT,16,1
181,BASIL,16,1
182,BUTTERMILK,16,1
183,DUST,16,1
184,MINT,16,1
185,SPICE,16,1
186,WHIPPING,16,1
187,WHIP,16,1
188,CANDY,16,1
189,BAKED,16,1
190,STARTING,15,1
191,GRADUALLY,15,1
192,TRAY,15,1
193,HAM,15,1
194,QUICK,15,1
195,GRILL,15,1
196,CHOP,15,1
197,ELECTRIC,15,1
198,RUBBER,15,1
199,ZEST,15,1
200,VINEGAR,15,1
201,COAT,15,1
202,TOMATO,15,1
203,RETURN,15,1
204,PORK,14,1
205,SIMMER,14,1
206,CEREAL,14,1
207,SOY,14,1
208,LONG,14,1
209,FLIP,14,1
210,DIVIDE,14,1
211,TOOTHPICK,14,1
212,RUM,14,1
213,LEAVE,14,1
214,TOPPED,14,1
215,CUTTING,14,1
216,TURNING,14,1
217,FINE,14,1
218,FULLY,14,1
219,REPEAT,13,1
220,RAW,13,1
221,SQUEEZE,13,1
222,FUDGE,13,1
223,SHELL,13,1
224,SEASON,13,1
225,MANGO,13,1
226,PIN,13,1
227,PEEL,13,1
228,WINE,13,1
229,POPCORN,13,1
230,SHAKE,13,1
231,PLATE,13,1
232,WASH,13,1
233,LIME,13,1
234,TRY,13,1
235,BREAKFAST,13,1
236,JELLY,13,1
237,GO,13,1
238,MEANWHILE,13,1
239,MUSTARD,13,1
240,INSIDE,12,1
241,INSERTED,12,1
242,DRAIN,12,1
243,FLAVORED,12,1
244,COOLING,12,1
245,HALFWAY,12,1
246,STRAIN,12,1
247,CONSTANTLY,12,1
248,CARDAMOM,12,1
249,RIPE,12,1
250,WHEAT,12,1
251,FAVORITE,12,1
252,END,12,1
253,STRAINER,12,1
254,FLAT,12,1
255,BOARD,12,1
256,ATTACHMENT,12,1
257,STIFF,12,1
258,PREVENT,12,1
259,PYRAMID,12,1
260,AHEAD,11,1
261,ZUCCHINI,11,1
262,RIGHT,11,1
263,MERINGUE,11,1
264,EXCESS,11,1
265,INCORPORATED,11,1
266,LEFT,11,1
267,BACON,11,1
268,SIT,11,1
269,LOOK,11,1
270,MUG,11,1
271,CUPCAKE,11,1
272,TENDER,11,1
273,POTATO,11,1
274,SLICING,11,1
275,FLAVOR,11,1
276,SQUARE,11,1
277,YOLK,11,1
278,CHILLED,11,1
279,SAFE,11,1
280,SEEDLESS,11,1
281,SCRAPE,11,1
282,COATED,11,1
283,FILLED,11,1
284,TREAT,11,1
285,ROASTING,10,1
286,COUNTER,10,1
287,SANDWICH,10,1
288,THEYRE,10,1
289,AIRTIGHT,10,1
290,SIFT,10,1
291,NECTAR,10,1
292,WIDE,10,1
293,COARSE,10,1
294,PEPPERMINT,10,1
295,DOESNT,10,1
296,PITTED,10,1
297,PASTRY,10,1
298,ICING,10,1
299,DISK,10,1
300,POD,10,1
301,SEPARATE,10,1
302,COLOR,10,1
303,MACAROON,10,1
304,TOSS,9,1
305,MOIST,9,1
306,CHUNK,9,1
307,SEAL,9,1
308,CLASSIC,9,1
309,CLOVER,9,1
310,PRO,9,1
311,SEVERAL,9,1
312,FOAMY,9,1
313,SALTED,9,1
314,HEALTHY,9,1
315,YOUVE,9,1
316,TART,9,1
317,PEACH,9,1
318,SHAKER,9,1
319,DISSOLVE,9,1
320,GRAPE,9,1
321,CRISP,9,1
322,TIN,9,1
323,SUPER,9,1
324,PUREE,9,1
325,MIXED,9,1
326,CUSTARD,9,1
327,START,9,1
328,BAR,9,1
329,UNBLEACHED,9,1
330,ORGANIC,9,1
331,STICKING,9,1
332,CUTTER,9,1
333,CRUMBLY,8,1
334,PANCAKE,8,1
335,WHISKING,8,1
336,BEAN,8,1
337,LAVENDER,8,1
338,SWEETENER,8,1
339,RICH,8,1
340,PREFER,8,1
341,CONE,8,1
342,CUCUMBER,8,1
343,BOTTLE,8,1
344,WONT,8,1
345,LAY,8,1
346,SOAK,8,1
347,PUSH,8,1
348,TOUCH,8,1
349,HOMEMADE,8,1
350,EASILY,8,1
351,DREAMY,8,1
352,SCRAPING,8,1
353,ALUMINUM,8,1
354,LOVE,8,1
355,BURN,8,1
356,AVOID,8,1
357,MACE,8,1
358,COLORING,8,1
359,PER,8,1
360,FLATTEN,8,1
361,BISCUIT,8,1
362,CAYENNE,8,1
363,TAP,8,1
364,APART,8,1
365,ISLAND,8,1
366,PUNCH,8,1
367,HELP,8,1
368,ACCORDING,8,1
369,FLAP,7,1
370,REMAIN,7,1
371,DEEP,7,1
372,FROTHY,7,1
373,BROWNING,7,1
374,NECESSARY,7,1
375,BIG,7,1
376,HOLIDAY,7,1
377,UNCOVERED,7,1
378,THREE,7,1
379,DIP,7,1
380,STAR,7,1
381,SAUTE,7,1
382,SHAPED,7,1
383,WORRY,7,1
384,NUT,7,1
385,OUTSIDE,7,1
386,PECAN,7,1
387,DUSTING,7,1
388,DAMP,7,1
389,KIWI,7,1
390,THICKNESS,7,1
391,CONVECTION,7,1
392,STRIP,7,1
393,BREAST,7,1
394,SIZED,7,1
395,CLOVE,7,1
396,RIMMED,7,1
397,PREHEATED,7,1
398,SHORTENING,7,1
399,WAFER,7,1
400,HOLE,7,1
401,FEEL,7,1
402,STARCH,7,1
403,OAT,7,1
404,CRUMB,7,1
405,FRY,7,1
406,ADJUST,7,1
407,CIDER,7,1
408,CHEESECLOTH,6,1
409,SUBSTITUTE,6,1
410,PRETTY,6,1
411,CHEWY,6,1
412,POSITION,6,1
413,LOWER,6,1
414,CROSS,6,1
415,STOP,6,1
416,LA,6,1
417,HOLLOW,6,1
418,HARD,6,1
419,FOLDING,6,1
