,Name,Count,Cluster
0,HEAT,1068,-1
1,GARLIC,880,-1
2,CHEESE,804,-1
3,PAN,641,-1
4,STIR,552,-1
5,PORK,480,-1
6,POTATO,432,-1
7,SIDE,426,-1
8,LEMON,385,-1
9,SKILLET,354,-1
10,EGG,350,-1
11,RICE,335,-1
12,COVER,326,-1
13,HIGH,325,-1
14,PREHEAT,297,-1
15,POUR,293,-1
16,POT,289,-1
17,STIRRING,286,-1
18,SHEET,263,-1
19,SPRINKLE,260,-1
20,GINGER,256,-1
21,VANILLA,256,-1
22,COOL,240,-1
23,TENDER,230,-1
24,TOMATO,225,-1
25,TOGETHER,222,-1
26,TURKEY,218,-1
27,BOIL,215,-1
28,EVENLY,212,-1
29,BROTH,208,-1
30,ROAST,203,-1
31,LIME,201,-1
32,SIMMER,200,-1
33,GOLDEN,198,-1
34,RACK,197,-1
35,SEASON,196,-1
36,BEEF,193,-1
37,DESIRED,186,-1
38,VINEGAR,185,-1
39,SOY,183,-1
40,GRILL,178,-1
41,TURN,173,-1
42,VEGETABLE,173,-1
43,PAPER,173,-1
44,CHOCOLATE,172,-1
45,TRANSFER,169,-1
46,DOUGH,168,-1
47,TOSS,168,-1
48,CORN,167,-1
49,CHILI,166,-1
50,SALAD,165,-1
51,SAUTE,165,-1
52,HONEY,164,-1
53,WHISK,164,-1
54,CINNAMON,161,-1
55,DRESSING,159,-1
56,ICE,156,-1
57,BASIL,155,-1
58,WARM,151,-1
59,PARSLEY,151,-1
60,CUMIN,149,-1
61,COCONUT,147,-1
62,CLOVE,146,-1
63,FOIL,146,-1
64,BOTTOM,144,-1
65,REDUCE,143,-1
66,SMOOTH,143,-1
67,LAYER,143,-1
68,SAUSAGE,139,-1
69,CREAMY,138,-1
70,CENTER,136,-1
71,SPINACH,136,-1
72,TILL,135,-1
73,DRAIN,133,-1
74,FISH,132,-1
75,SHRIMP,132,-1
76,WINE,131,-1
77,ZUCCHINI,126,-1
78,BLENDER,125,-1
79,ALLOW,125,-1
80,MAYONNAISE,122,-1
81,GARNISH,122,-1
82,COAT,121,-1
83,PAPRIKA,121,-1
84,SAUCEPAN,121,-1
85,GENTLY,120,-1
86,MUSTARD,119,-1
87,THYME,118,-1
88,PIE,117,-1
89,COOKER,117,-1
90,EASY,116,-1
91,MELTED,115,-1
92,PUT,115,-1
93,SYRUP,114,-1
94,BLEND,113,-1
95,SEASONING,113,-1
96,LETTUCE,113,-1
97,MINUTE,113,-1
98,FLAVOR,112,-1
99,SESAME,112,-1
100,STOCK,112,-1
101,READY,110,-1
102,ROLL,110,-1
103,FRY,109,-1
104,BREAST,109,-1
105,DONT,109,-1
106,SOUP,108,-1
107,AVOCADO,108,-1
108,PASTE,107,-1
109,BROCCOLI,105,-1
110,COLD,104,-1
111,PARCHMENT,104,-1
112,COVERED,102,-1
113,DRIZZLE,102,-1
114,IMMEDIATELY,101,-1
115,THICK,101,-1
116,LINE,100,-1
117,SLIGHTLY,100,-1
118,CRUST,97,-1
119,CABBAGE,97,-1
120,ARRANGE,97,-1
121,REFRIGERATOR,97,-1
122,SURE,96,-1
123,TEA,95,-1
124,STAND,95,-1
125,SOUR,95,-1
126,CHOP,94,-1
127,HAM,94,-1
128,ONTO,94,-1
129,CAYENNE,93,-1
130,COMPLETELY,93,-1
131,PREPARE,92,-1
132,DAY,91,-1
133,REFRIGERATE,91,-1
134,CHECK,89,-1
135,PERFECT,89,-1
136,APPLE,89,-1
137,BACON,89,-1
138,HOUR,89,-1
139,MINT,88,-1
140,ROASTING,87,-1
141,FORK,86,-1
142,PLATE,86,-1
143,MARINADE,85,-1
144,PEANUT,85,-1
145,TURNING,85,-1
146,MEANWHILE,85,-1
147,FRUIT,85,-1
148,BONE,85,-1
149,SLOW,84,-1
150,LID,84,-1
151,SALMON,84,-1
152,AROUND,83,-1
153,SKIN,83,-1
154,CELERY,82,-1
155,CAKE,82,-1
156,SURFACE,81,-1
157,BEAT,81,-1
158,CHIP,80,-1
159,WRAP,78,-1
160,RUB,77,-1
161,MIXER,77,-1
162,ROSEMARY,77,-1
163,THOROUGHLY,76,-1
164,MELT,75,-1
165,SODA,75,-1
166,PROCESSOR,74,-1
167,CAREFULLY,74,-1
168,RETURN,74,-1
169,STEAK,73,-1
170,CORNSTARCH,72,-1
171,CRISP,71,-1
172,CLEAN,70,-1
173,PROCESS,70,-1
174,WORK,70,-1
175,SPICE,70,-1
176,BOILING,70,-1
177,BATTER,69,-1
178,PEEL,68,-1
179,PLASTIC,68,-1
180,QUINOA,66,-1
181,FOLD,66,-1
182,RINSE,66,-1
183,BIT,66,-1
184,MICROWAVE,65,-1
185,CORIANDER,65,-1
186,SPEED,64,-1
187,SODIUM,64,-1
188,TOPPING,64,-1
189,FILL,62,-1
190,WHIPPED,61,-1
191,TOPPED,61,-1
192,BRUSH,61,-1
193,ASPARAGUS,61,-1
194,BALSAMIC,60,-1
