,Name,Count,Cluster
0,DOUGH,149,1
1,YEAST,37,1
2,SURFACE,22,1
3,ROLL,21,1
4,COVER,20,1
5,PLASTIC,20,1
6,WARM,16,1
7,STICKY,16,1
8,WRAP,16,1
9,SIDE,15,1
10,PAN,15,1
11,RISE,14,1
12,KNEAD,14,1
13,EGG,14,1
14,SMOOTH,13,1
15,TRANSFER,13,1
16,TOGETHER,12,1
17,PORK,12,1
18,CENTER,12,1
19,BALL,11,1
20,WORK,11,1
21,GENTLY,11,1
22,PIZZA,10,1
23,CIRCLE,10,1
24,SPRINKLE,10,1
25,ROLLING,10,1
26,SHEET,10,1
27,JAM,9,1
28,VANILLA,9,1
29,CHEESE,9,1
30,MIXER,9,1
31,SLIGHTLY,9,1
32,THICK,8,1
33,PROCESS,8,1
34,TOWEL,8,1
35,LEMON,8,1
36,ACTIVE,8,1
37,PARCHMENT,8,1
38,GOLDEN,8,1
39,FORM,8,1
40,WET,8,1
41,CINNAMON,8,1
42,HEAT,8,1
43,SURE,8,1
44,WHISK,8,1
45,STAND,8,1
46,LOAF,7,1
47,LEFT,7,1
48,BIT,7,1
49,RIGHT,7,1
50,DUST,7,1
51,FOAMY,7,1
52,REFRIGERATOR,7,1
53,COOL,7,1
54,ZEST,7,1
55,TRAY,7,1
56,GRILL,7,1
57,CLEAN,6,1
58,FOLD,6,1
59,STIR,6,1
60,TRIANGLE,6,1
61,SIT,6,1
62,TEXTURE,6,1
63,SPEED,6,1
64,FLAP,6,1
65,PREHEAT,6,1
66,TILL,6,1
67,ROUND,5,1
68,REPEAT,5,1
69,LOOK,5,1
70,PIN,5,1
71,DOUBLED,5,1
72,PREPARE,5,1
73,ATTACHMENT,5,1
74,HIGH,5,1
75,DAMP,5,1
76,STACK,4,1
77,THICKNESS,4,1
78,SHAPED,4,1
79,HELP,4,1
80,BRUSH,4,1
81,SLOWLY,4,1
82,WONT,4,1
83,TEA,4,1
84,COVERED,4,1
85,TURN,4,1
86,ONTO,4,1
87,START,4,1
88,CUTTING,4,1
89,BOTTOM,4,1
90,STONE,4,1
91,PAPER,4,1
92,OVERNIGHT,4,1
93,COUNTER,4,1
94,STARTING,4,1
95,COMPLETELY,4,1
96,APPLE,4,1
97,UNUSED,4,1
98,DISSOLVE,3,1
99,FLIP,3,1
100,LE,3,1
101,STRETCH,3,1
102,LID,3,1
103,THERMOMETER,3,1
104,COAT,3,1
105,CRISP,3,1
106,PADDLE,3,1
107,CLOSED,3,1
108,RUN,3,1
109,JELLY,3,1
110,GARLIC,3,1
111,BOTTLE,3,1
112,POUR,3,1
113,LUKEWARM,3,1
114,STEP,3,1
115,DELICATE,3,1
116,FILLED,3,1
117,NUTMEG,3,1
118,FILM,3,1
119,HOOK,3,1
120,ELECTRIC,3,1
121,HOLLOW,3,1
122,SLIDE,3,1
123,PRETTY,3,1
124,LOOSELY,3,1
125,LINED,3,1
126,FLAT,3,1
127,ROUGH,3,1
128,UNBLEACHED,3,1
129,AROUND,3,1
130,EVENLY,3,1
131,ALLOW,3,1
132,PREFER,3,1
133,EASILY,3,1
134,SQUEEZE,3,1
135,YOUVE,3,1
136,BALSAMIC,3,1
137,BARBECUE,3,1
138,WIRE,3,1
139,TURNING,3,1
140,GRADUALLY,3,1
141,TOWARDS,3,1
142,ROPE,3,1
143,UNCOVERED,3,1
144,SEPARATE,3,1
145,CORNER,3,1
146,LAYER,3,1
147,CUTTER,3,1
148,FREEZE,3,1
149,GREASE,3,1
150,DAY,3,1
151,DUSTING,3,1
152,PUNCH,3,1
153,RACK,3,1
154,RANGE,3,1
155,HOMEMADE,3,1
156,HONEY,3,1
157,INSIDE,2,1
158,LIQUOR,2,1
159,TUCK,2,1
160,DOUBLE,2,1
161,RISEN,2,1
162,CRUMBLY,2,1
163,RISING,2,1
164,CAREFULLY,2,1
165,BIG,2,1
166,SIFT,2,1
167,MIXED,2,1
168,FOLDING,2,1
169,WIDE,2,1
170,DOUGHY,2,1
171,FORK,2,1
172,GO,2,1
173,YOLK,2,1
174,SQUARE,2,1
175,SHORT,2,1
176,PORTION,2,1
177,ELASTIC,2,1
178,FRUIT,2,1
179,VODKA,2,1
180,BOARD,2,1
181,STICKING,2,1
182,ABSORB,2,1
183,TENDER,2,1
184,FREEMAN,2,1
185,ROTATING,2,1
186,LUKE,2,1
187,REFRIGERATE,2,1
188,WAIT,2,1
189,OVAL,2,1
190,STRAINER,2,1
191,INTERNAL,2,1
192,SHOULDNT,2,1
193,CONVECTION,2,1
194,END,2,1
195,LEAVE,2,1
196,RISK,2,1
197,POT,2,1
198,TOUCH,2,1
199,HOLE,2,1
200,PASTRY,2,1
201,BEAT,2,1
202,FIT,2,1
203,SOAK,2,1
204,TRY,2,1
205,DOESNT,2,1
206,THIRD,2,1
207,GRASP,2,1
208,TACKY,2,1
209,OPENING,2,1
210,COLD,2,1
211,INSTANT,2,1
212,HUMIDITY,2,1
213,RETURN,2,1
214,PREVENT,2,1
215,CHILL,2,1
216,REDUCTION,2,1
217,STIFF,2,1
218,DONT,2,1
219,EASY,2,1
220,CHOOSE,2,1
221,EDGE,2,1
222,SEVERAL,2,1
223,ASSEMBLE,2,1
224,DISK,2,1
225,BEGIN,2,1
226,FLATTEN,2,1
227,RECTANGLE,2,1
228,STIRRING,2,1
229,HOUR,2,1
230,SEALABLE,1,1
231,CARVING,1,1
232,FEED,1,1
233,RUNNING,1,1
234,MACHINE,1,1
235,GRILLED,1,1
236,PROCESSOR,1,1
237,SELECT,1,1
238,IMMEDIATELY,1,1
239,PULSE,1,1
240,OUTDOOR,1,1
241,SMART,1,1
242,DIGITAL,1,1
243,DIRECT,1,1
244,MARINADE,1,1
245,TUBE,1,1
246,FEEL,1,1
247,SEASON,1,1
248,GLAZE,1,1
249,DICE,1,1
250,MARINATE,1,1
251,GRATE,1,1
252,DESIRED,1,1
253,NECESSARY,1,1
254,OILED,1,1
255,GATHER,1,1
256,DEEP,1,1
257,SLASH,1,1
258,SKILLET,1,1
259,EXCESS,1,1
260,SUPPLE,1,1
261,CHOP,1,1
262,MODE,1,1
263,UNDERSIDE,1,1
264,CROSS,1,1
265,SEARED,1,1
266,BURN,1,1
267,DRIZZLE,1,1
268,SHAKING,1,1
269,PERFECTLY,1,1
270,OBTAIN,1,1
271,TIP,1,1
272,PLATE,1,1
