,Name,Count,Cluster
0,CHEESE,600,3
1,HEAT,398,3
2,POTATO,362,3
3,GARLIC,361,3
4,TURKEY,192,3
5,PAN,181,3
6,SKILLET,152,3
7,STIR,146,3
8,SAUSAGE,122,3
9,STIRRING,119,3
10,BEEF,113,3
11,PREHEAT,109,3
12,TOMATO,109,3
13,HIGH,108,3
14,COVER,106,3
15,SIDE,101,3
16,BROTH,100,3
17,POT,98,3
18,SPRINKLE,94,3
19,GOLDEN,90,3
20,SHEET,90,3
21,SAUTE,81,3
22,EGG,81,3
23,ZUCCHINI,79,3
24,TENDER,77,3
25,SIMMER,76,3
26,SPINACH,73,3
27,SEASON,70,3
28,THYME,67,3
29,EVENLY,65,3
30,POUR,65,3
31,HAM,64,3
32,LAYER,61,3
33,BASIL,61,3
34,BOIL,60,3
35,BACON,59,3
36,REDUCE,57,3
37,CHILI,57,3
38,BOTTOM,56,3
39,ROAST,56,3
40,PARSLEY,54,3
41,MELTED,53,3
42,FOIL,53,3
43,CORN,52,3
44,TRANSFER,50,3
45,CUMIN,49,3
46,SEASONING,49,3
47,ROSEMARY,48,3
48,CELERY,46,3
49,RACK,46,3
50,CLOVE,45,3
51,COOKER,45,3
52,DESIRED,45,3
53,PAPRIKA,43,3
54,MINUTE,43,3
55,MAYONNAISE,43,3
56,TOGETHER,43,3
57,COOL,42,3
58,DRAIN,41,3
59,TURN,41,3
60,VEGETABLE,41,3
61,PAPER,41,3
62,LEMON,41,3
63,CASSEROLE,41,3
64,BREAST,40,3
65,TOSS,39,3
66,SLOW,38,3
67,LEAN,38,3
68,SPAGHETTI,36,3
69,COVERED,36,3
70,SOUR,34,3
71,MEANWHILE,34,3
72,PREPARE,33,3
73,WARM,33,3
74,RETURN,33,3
75,SAUCEPAN,33,3
76,PASTE,32,3
77,SAGE,32,3
78,EASY,32,3
79,CHOP,31,3
80,COAT,31,3
81,ARRANGE,31,3
82,CRISP,31,3
83,WINE,31,3
84,SLIGHTLY,31,3
85,PLATE,30,3
86,SOUP,30,3
87,TOPPED,30,3
88,CREAMY,30,3
89,GARNISH,29,3
90,SURE,29,3
91,DOUGH,29,3
92,GRAVY,29,3
93,ALLOW,28,3
94,FORK,28,3
95,PERFECT,28,3
96,RICE,27,3
97,WHISK,27,3
98,MELT,27,3
99,FLAVOR,26,3
100,CHECK,26,3
101,PUT,26,3
102,SKIN,26,3
103,CENTER,25,3
104,LID,25,3
105,ROLL,25,3
106,TORTILLA,25,3
107,BLEND,24,3
108,PIE,24,3
109,EGGPLANT,24,3
110,MUSTARD,24,3
111,WHEAT,24,3
112,ROASTING,24,3
113,LINE,24,3
114,STAND,24,3
115,THICK,23,3
116,GENTLY,23,3
117,BLENDER,23,3
118,PIZZA,23,3
119,MICROWAVE,22,3
120,READY,22,3
121,STOCK,21,3
122,LETTUCE,21,3
123,AROUND,21,3
124,CLEAN,21,3
125,TURNING,21,3
126,CAREFULLY,21,3
127,BAKED,21,3
128,IMMEDIATELY,20,3
129,GRILL,20,3
130,CORIANDER,20,3
131,RUB,20,3
132,CAULIFLOWER,19,3
133,STUFFED,19,3
134,REPEAT,19,3
135,AVOCADO,18,3
136,FRY,18,3
137,ALUMINUM,18,3
138,FILL,18,3
139,ACCORDING,18,3
140,NUTMEG,18,3
141,CAYENNE,18,3
142,CROCK,18,3
143,BROCCOLI,18,3
144,DOG,17,3
145,X,17,3
146,HOUR,17,3
147,DONT,17,3
148,RINSE,17,3
149,BREAKFAST,17,3
150,SEASONED,17,3
151,TILL,17,3
152,THOROUGHLY,17,3
153,DINNER,17,3
154,DRIZZLE,16,3
155,CURRY,16,3
156,SODIUM,16,3
157,ENCHILADA,16,3
158,FAVORITE,16,3
159,MASH,16,3
160,BROIL,16,3
161,MIXER,16,3
162,CARROT,16,3
163,DAY,16,3
164,SMOOTH,16,3
165,RESERVE,16,3
166,BIT,16,3
167,PARCHMENT,16,3
168,WORK,15,3
