,Name,Count,Cluster
0,PORK,460,0
1,GARLIC,107,0
2,HEAT,102,0
3,ROAST,77,0
4,PAN,72,0
5,STIR,62,0
6,GRILL,56,0
7,COVER,51,0
8,SIDE,47,0
9,TENDERLOIN,42,0
10,SKILLET,42,0
11,GINGER,42,0
12,SOY,39,0
13,TRANSFER,38,0
14,CUMIN,38,0
15,TENDER,37,0
16,VINEGAR,34,0
17,COOKER,33,0
18,CHEESE,33,0
19,CHILI,31,0
20,MARINADE,31,0
21,VEGETABLE,30,0
22,CLOVE,30,0
23,HIGH,30,0
24,RICE,29,0
25,LOIN,29,0
26,BARBECUE,28,0
27,SHOULDER,26,0
28,WINE,26,0
29,DOUGH,26,0
30,POT,25,0
31,LIME,25,0
32,CABBAGE,24,0
33,FOIL,24,0
34,POTATO,23,0
35,LEMON,23,0
36,CINNAMON,23,0
37,SEASON,22,0
38,SALAD,21,0
39,EGG,21,0
40,MUSTARD,21,0
41,ROLL,20,0
42,BOIL,20,0
43,COOL,20,0
44,RUB,20,0
45,PREPARE,20,0
46,PRESSURE,20,0
47,STIRRING,20,0
48,INTERNAL,20,0
49,APPLE,20,0
50,BROTH,19,0
51,SIMMER,19,0
52,POUR,19,0
53,SLOW,19,0
54,SURFACE,18,0
55,CORN,18,0
56,ROASTING,18,0
57,PREHEAT,17,0
58,TURNING,17,0
59,SPICE,17,0
60,THYME,17,0
61,LETTUCE,16,0
62,PAPRIKA,16,0
63,DESIRED,16,0
64,FISH,16,0
65,SAUTE,16,0
66,WRAP,16,0
67,CORIANDER,16,0
68,RIB,15,0
69,EVENLY,15,0
70,RACK,15,0
71,TOGETHER,15,0
72,SHRED,15,0
73,BELLY,14,0
74,SOUR,14,0
75,WARM,14,0
76,TOSS,14,0
77,BROIL,14,0
78,TOMATO,13,0
79,ALLOW,13,0
80,STOCK,13,0
81,REFRIGERATE,13,0
82,HOUR,13,0
83,FRY,13,0
84,STAND,13,0
85,BASIL,13,0
86,PLASTIC,13,0
87,MEANWHILE,12,0
88,DRAIN,12,0
89,COAT,12,0
90,SPRINKLE,12,0
91,LID,12,0
92,IMMEDIATELY,12,0
93,PARSLEY,12,0
94,BEAN,12,0
95,DISCARD,12,0
96,OVERNIGHT,12,0
97,CENTER,12,0
98,ROOT,11,0
99,ONTO,11,0
100,SANDWICH,11,0
101,WORK,11,0
102,PLATE,11,0
103,COLD,11,0
104,PIZZA,11,0
105,RETURN,11,0
106,SAUCEPAN,11,0
107,MINT,11,0
108,CHILE,11,0
109,GOLDEN,11,0
110,BOARD,10,0
111,SEAL,10,0
112,COUSCOUS,10,0
113,COURTESY,10,0
114,PUT,10,0
115,THICK,10,0
116,PER,10,0
117,SEASONING,10,0
118,THERMOMETER,10,0
119,BRUSH,10,0
120,HONEY,10,0
121,REDUCE,10,0
122,CUCUMBER,9,0
123,FOLD,9,0
124,NECESSARY,9,0
125,PASTE,9,0
126,CIDER,9,0
127,APART,9,0
128,ZEST,9,0
129,SLIGHTLY,9,0
130,PAPER,9,0
131,CHOP,9,0
132,SEAR,9,0
133,REFRIGERATOR,9,0
134,FIRE,9,0
135,JELLY,9,0
136,SHALLOW,9,0
137,INSTANT,9,0
138,SESAME,8,0
139,BONE,8,0
140,ARRANGE,8,0
141,SMOKE,8,0
142,MINUTE,8,0
143,SHEET,8,0
144,SPINACH,8,0
145,CAYENNE,8,0
146,CAREFULLY,8,0
147,DRIZZLE,8,0
148,BANANA,8,0
149,PROCESSOR,8,0
150,SIT,8,0
151,PUREE,8,0
152,TURN,8,0
153,LAYER,8,0
154,SKIN,7,0
155,READY,7,0
156,BLEND,7,0
157,PLUM,7,0
158,GRAPEFRUIT,7,0
159,COCONUT,7,0
160,ROSEMARY,7,0
161,CUTTING,7,0
162,FLIP,7,0
163,DRESSING,7,0
164,CRANBERRY,7,0
165,GRILLED,7,0
166,FALL,7,0
167,HAM,7,0
168,GARNISH,7,0
169,PEANUT,7,0
170,AROUND,7,0
171,AVOCADO,7,0
172,WRAPPER,7,0
173,RELEASE,7,0
174,YEAST,7,0
175,PROCESS,7,0
176,ALUMINUM,7,0
177,STEAM,6,0
178,CRISP,6,0
179,ADJUST,6,0
180,THINLY,6,0
181,DIRECT,6,0
182,SMOOTH,6,0
183,BROILER,6,0
184,SAUSAGE,6,0
185,ALLSPICE,6,0
186,BURN,6,0
187,BOTTOM,6,0
188,WRAPPED,6,0
189,SYRUP,6,0
190,INSERTED,6,0
191,UNCOVERED,6,0
192,MARINATE,6,0
193,GRATE,6,0
194,SPAGHETTI,6,0
195,BALSAMIC,6,0
196,FORK,6,0
197,SIZED,6,0
198,DEEP,6,0
199,WHISK,6,0
200,COVERED,6,0
201,MARMALADE,5,0
202,REPEAT,5,0
203,BITE,5,0
204,FLAVOR,5,0
205,GUAVA,5,0
206,MIXED,5,0
207,BRINE,5,0
208,CARVING,5,0
209,ROLLING,5,0
210,LARD,5,0
211,STAR,5,0
212,PEACH,5,0
213,GENTLY,5,0
214,EAT,5,0
215,BASKET,5,0
216,LOOSELY,5,0
217,TRY,5,0
218,LINE,5,0
219,COATED,5,0
220,HEART,5,0
221,ARTICHOKE,5,0
222,RIGHT,5,0
223,BEEF,5,0
224,START,5,0
225,CLOSED,5,0
226,SEED,5,0
227,CORNSTARCH,5,0
228,TONGS,5,0
229,SPICY,5,0
230,STICKY,5,0
231,RESERVE,5,0
232,FRUIT,5,0
233,RESERVED,5,0
234,BOURBON,5,0
235,BUTT,5,0
236,PINEAPPLE,5,0
237,SOUP,5,0
238,EASY,5,0
239,CHERRY,5,0
240,PARCHMENT,5,0
241,BLENDER,5,0
242,DAY,4,0
243,KETCHUP,4,0
244,GLAZE,4,0
245,PIE,4,0
246,MARINATED,4,0
247,ROUND,4,0
248,EXCESS,4,0
249,PLANTAIN,4,0
250,ENJOY,4,0
251,FRYER,4,0
252,TOWEL,4,0
253,DINNER,4,0
254,REMOVING,4,0
255,RINSE,4,0
256,SLICING,4,0
257,CLEAN,4,0
258,DONT,4,0
259,SURE,4,0
260,STRAIN,4,0
261,DAIKON,4,0
262,MIREPOIX,4,0
263,CARAMEL,4,0
264,MIXER,4,0
265,CLAY,4,0
266,PERFECT,4,0
267,COLA,4,0
268,CHUNKY,4,0
269,FINISH,4,0
270,CELERY,4,0
271,ANISE,4,0
272,PULL,4,0
273,OPEN,4,0
274,BASE,4,0
275,DIPPING,4,0
276,MAPLE,4,0
277,ACCORDING,4,0
278,CHECK,4,0
279,PLATTER,4,0
280,BAKED,4,0
281,BLISTERED,4,0
282,BIT,4,0
283,NICELY,4,0
284,QUICK,3,0
285,POCKET,3,0
286,LINED,3,0
287,COMPLETELY,3,0
288,DIRECTLY,3,0
289,TOSSING,3,0
290,SEASONED,3,0
291,ROTISSERIE,3,0
292,PORTERHOUSE,3,0
293,REACH,3,0
294,SUBSTITUTE,3,0
295,CONSTANTLY,3,0
296,OPENING,3,0
297,EASILY,3,0
298,HOMEMADE,3,0
299,PUMPKIN,3,0
300,MINIMUM,3,0
301,FULLY,3,0
302,COARSE,3,0
303,FEEL,3,0
304,STEW,3,0
305,EVERYTHING,3,0
306,QUICKLY,3,0
307,ENCHILADA,3,0
308,FRIED,3,0
309,BASTING,3,0
310,ICE,3,0
311,BRANDY,3,0
312,MAYONNAISE,3,0
313,OKRA,3,0
314,TON,3,0
