,Name,Count,Cluster
0,VANILLA,291,1
1,PAN,270,1
2,DOUGH,243,1
3,CAKE,236,1
4,CHOCOLATE,214,1
5,EGG,188,1
6,HEAT,145,1
7,COOL,140,1
8,CINNAMON,127,1
9,STIR,116,1
10,ICE,115,1
11,POUR,105,1
12,SMOOTH,98,1
13,TOGETHER,97,1
14,WHISK,95,1
15,PREHEAT,93,1
16,SHEET,92,1
17,SIDE,91,1
18,PIE,88,1
19,BATTER,84,1
20,SODA,83,1
21,CRUST,82,1
22,BEAT,80,1
23,COCONUT,80,1
24,PAPER,79,1
25,PARCHMENT,75,1
26,RACK,73,1
27,CHEESE,73,1
28,CENTER,72,1
29,SPRINKLE,71,1
30,SYRUP,70,1
31,COVER,69,1
32,EVENLY,68,1
33,ALLOW,66,1
34,COMPLETELY,65,1
35,GENTLY,62,1
36,MIXER,62,1
37,ROLL,60,1
38,LEMON,59,1
39,WHIPPED,59,1
40,TOPPING,56,1
41,WARM,55,1
42,MELTED,54,1
43,CREAMY,52,1
44,FROSTING,52,1
45,ONTO,51,1
46,SURFACE,51,1
47,GOLDEN,50,1
48,PUMPKIN,50,1
49,CARAMEL,50,1
50,CHIP,50,1
51,FRUIT,49,1
52,SPEED,49,1
53,HIGH,49,1
54,YEAST,47,1
55,FOLD,46,1
56,STIRRING,46,1
57,TILL,46,1
58,TURN,46,1
59,BOTTOM,45,1
60,COCOA,45,1
61,TRANSFER,44,1
62,CLEAN,43,1
63,STAND,41,1
64,THICK,41,1
65,LINE,40,1
66,DESSERT,39,1
67,FORM,39,1
68,ALMOND,38,1
69,PLASTIC,37,1
70,SLIGHTLY,37,1
71,WRAP,37,1
72,DONT,36,1
73,NUTMEG,36,1
74,DAY,35,1
75,REFRIGERATOR,34,1
76,PUDDING,34,1
77,MELT,33,1
78,WET,33,1
79,SAUCEPAN,33,1
80,WIRE,33,1
81,FREEZE,33,1
82,UNSWEETENED,33,1
83,MAPLE,32,1
84,LAYER,31,1
85,FOIL,31,1
86,TOOTHPICK,31,1
87,APPLE,31,1
88,AROUND,31,1
89,BLEND,30,1
90,PEANUT,29,1
91,HOUR,29,1
92,PUT,29,1
93,DRIZZLE,29,1
94,DESIRED,29,1
