,name,description,ingredients,steps
3945,avocado and lump crab salad,"this stuffed avocado and lump crab salad is light and fresh, made with lime juice, olive oil, cilantro and red onion . so quick because there is no cooking involved","1 medium hass avocado, 4 oz lump crab meat, 2 tbsp chopped red onion, 1 1/2 tbsp fresh lime juice, 1 tbsp chopped fresh cilantro, 2 grape tomatoes, 1/2 tsp olive oil, 1/4 tsp salt and fresh black pepper, 2 leaves butter lettuce","in a medium bowl, combine onion, lime juice, cilantro, tomato, olive oil, 1/8 tsp salt and fresh pepper, to taste . add crab meat and gently toss . cut the avocado open, remove pit and peel the skin or spoon the avocado out . season with remaining 1/8 tsp salt and fill the avocado halves equally with crab salad . this makes 2 servings, place on two plates with lettuce if you wish and serve."
50,chicken sausage and peppers macaroni casserole,"chicken sausage, bell peppers, onions and mushrooms simmered in a marinara sauce then baked in the casserole with whole wheat macaroni topped with mozzarella.","14 ounces chicken sausage, 1 tbsp olive oil, 1 cup chopped onion, 1 medium red pepper, 1 medium yellow pepper, 3 cloves chopped garlic, 1 cup sliced mushrooms, 1 14.5 oz can petite diced tomatoes, drained, 2 cups marinara sauce, 2 cups water, 1/2 tsp italian seasoning or dried thyme, 1 tsp kosher salt, 8 oz shredded mozzarella cheese, 8 oz uncooked delallo whole wheat or gluten free elbows","preheat oven to 350degf . in a large deep non stick skillet, brown the sausage over high heat until cooked through, seasoning with a pinch of salt and breaking it up into smaller pieces as it cooks . set aside on a dish . add olive oil to the skillet, reduce heat to medium and add the onions, garlic and peppers saute until the vegetables soft, about 6 to 7 minutes . return the sausage to the skillet along with the remaining ingredients except for the pasta and cheese . bring to a boil and then lower heat to medium low and simmer for 10 minutes, until the vegetables are soft . spoon just enough of the sausage/vegetable mixture to cover the bottom of a 9x13 pan . cover with uncooked pasta . spoon remaining sauce mixture evenly over the top and sprinkle with cheese . cover with foil and bake 50 55 minutes . remove from oven and let stand, covered, for 15 minutes . divide into 8 servings."
5708,southern style pork stir fry,"southern style pork stir fry with pork tenderloin, vegetable oil, salt, pepper, sweet potatoes, water, onion, raisins, cornstarch, white wine, apples","1.0 pound pork tenderloin, 2.0 teaspoon vegetable oil, salt, pepper, 2.0 sweet potatoes, 0.5 cup water, 1.0 onion, 2.0 tablespoon raisins, 1.0 tablespoon cornstarch, 0.2 cup white wine, 2.0 cup apples","cut tenderloin into 1/4 inch slices . in wok or frying pan, stir fry pork, half at a time, in hot oil for 4 5 minutes . remove pork to a platter and season with salt and pepper . peel sweet potatoes and cut into 1x1/2x1/4 inch strips . add potatoes and water to wok, cover and cook 5 minutes . return pork to wok along with onion and raisins . continue to stir fry 3 minutes . combine cornstarch and wine and stir into pork mixture . cook and stir until sauce is thickened . fold in apple wedges and stir fry 1 minute . serve with hot rice."
3595,low carb garlic mustard baked ham,"whether you're watching your carb intake or not, this savory baked ham is mouthwatering . the recipe is a yummly original created by sara mellas https //www.yummly.com/dish/author/sara 20mellas .","1.0 spiral sliced bone in ham, 0.5 cup mustard, 2.0 tablespoon salted butter, 2.0 teaspoon honey, 2.0 teaspoon garlic powder, 1.0 teaspoon onion powder, 1.0 teaspoon paprika","set a rack to the lowest position in the oven . preheat oven to 325degf . line a roasting pan with aluminum foil, and position a roasting rack in the pan . place ham on the middle of roasting rack . pat the ham dry with paper towels to help the mustard mixture adhere better . place the mustard, melted butter, and spices in a large mixing bowl . whisk vigorously until thoroughly combined . spoon the mustard mixture over the ham . use the back of a spoon to spread the mustard into a thick layer over the surface of the ham . bake ham on lowest rack of oven until it has reached an internal temperature of about 145degf and the mustard coating is browned, 2 2 1/2 hours, or about 15 minutes per pound of ham . check to see that the ham is done . remove from oven or add time as needed . allow ham to cool on roasting rack for 15 minutes . transfer to cutting board, then carve and serve . refrigerate leftovers in an airtight container for up to 3 days."
4742,brownie ice cream pizza,"brownie ice cream pizza with brownie mix, skippy creamy peanut butter, breyers natural vanilla ice cream, strawberries, chocolate syrup","15.5 ounce brownie mix, 0.5 cup skippy creamy peanut butter, 1.5 quart breyers natural vanilla ice cream, 2.0 cup strawberries, 0.2 cup chocolate syrup","preheat oven to 350deg . spray 12 inch pizza pan with nonstick cooking spray set aside . prepare brownie mix according to package directions . pour into prepared pan . bake 23 minutes or just until center is firm . cool on wire rack, about 20 minutes . freeze 1 hour or until frozen . evenly spread skippy creamy peanut butter on brownie pizza, leaving 1 inch border . top with scoops of breyers natural vanilla ice cream arranged in a ring . fill with fruit, then drizzle with chocolate syrup."
1775,taiwanese meat sauce lo bah,grandma's recipe,"6.0 shiitake mushrooms, 0.2 onion, 2.0 pound ground pork, 1.0 tablespoon avocado oil, 1.5 tablespoon brown sugar, 4.0 tablespoon liquid aminos, 0.5 cup fried garlic, 1.0 cup fried shallots, 1.0 can quail eggs","add oil to pan, and cook diced onion and shiitake mushrooms on medium heat . add ground pork . avoid stirring too frequently . before pork is fully cooked, add brown sugar . then, allow pork to fully cook . add some water from soaking the shiitake mushrooms, or alternatively chicken broth . add more soy sauce, as needed, and quail eggs . simmer on low for 20 25 minutes."
3250,"garlic shrimp in coconut milk, tomatoes and cilantro",a quick shrimp stew cooked in a tomato coconut broth with a hint of lime and cilantro . simple enough to make for a weekday dinner yet sophisticated enough to serve to company . serve with a little brown basmati rice to soak up the broth.,"1 1/4 lbs peeled and deviened jumbo shrimp, 1 tsp olive oil, 1 red bell pepper, 4 scallions, 1/2 cup chopped cilantro, 4 cloves garlic, 1/2 teaspoon kosher salt, 1/2 tsp crushed red pepper flakes, 14.5 oz can diced tomatoes, 14 oz can light coconut milk, 1/2 lime","in a medium pot, heat oil on medium low heat . add red peppers and saute until soft, about 4 minutes . add scallion whites, 1/4 cup cilantro, garlic and red pepper flakes, cook 1 minute . add tomatoes, coconut milk and 1/4 teaspoon salt, increase heat and bring to a boil, cover and simmer on low about 10 minutes to let the flavors blend and to thicken the sauce . add shrimp and cook 5 to 6 minutes, until opaque and cooked through . add lime juice . to serve, divide equally among 4 bowls, about 1 1/4 cups then top with scallions and cilantro."
1276,apple and onion pork chops,"apple and onion pork chops with pork chops, hots, i can't believe it's not butter spread, onion, ground cinnamon, apple, apple juice","4.0 pork chops, 1.0 teaspoon hots, 0.2 cup i can't believe it's not butter spread, 2.0 onion, 1.0 pinch ground cinnamon, 2.0 apple, 0.5 cup apple juice","season chops, if desired, with salt and ground black pepper and curry . melt i can't believe it's not butter spread in 12 inch skillet over medium high heat and cook chops, turning occasionally, 8 minutes or until desired doneness . remove chops and set aside . cook onions in same skillet over medium heat, stirring occasionally, 7 minutes or until onions are golden brown . stir in apples and cinnamon and cook, stirring occasionally, 4 minutes or until apples are tender . stir in apple juice and cook, scraping up brown bits from bottom of skillet, 2 minutes . to serve, pour sauce over chops."
2318,chicken cacciatore with portobellos and rosemary,"chicken cacciatore with portobellos and rosemary with bertolli classico olive oil, chicken drumsticks, onion, portobello mushrooms, dry red wine, bertolli organic olive oil, basil and garlic sauce, fresh rosemary","2.0 tablespoon bertolli classico olive oil, 12.0 chicken drumsticks, 1.0 onion, 3.0 portobello mushrooms, 1.0 cup dry red wine, 1.0 jar bertolli organic olive oil, basil and garlic sauce, 1.0 teaspoon fresh rosemary","season chicken, if desired with salt and ground black pepper . heat olive oil over medium high heat in large nonstick saucepot or deep 12 inch skillet and brown chicken in batches . remove chicken from saucepot and set aside reserve 1 tablespoon drippings . add onion and mushrooms to reserved drippings in same saucepot and cook, stirring occasionally, until vegetables are tender, about 5 minutes . add wine and cook 3 minutes . stir in sauce and rosemary . bring to a boil over high heat . reduce heat to low, then return chicken to saucepot . simmer covered, stirring occasionally, 30 minutes or until chicken is thoroughly cooked . serve, if desired, over hot cooked orzo and garnish with chopped fresh parsley."
4192,apple juice and apple leather,"learn to make homemade apple juice and apple leather, no apple press needed . simple old fashioned method for all natural tasty apple products","2 lbs unblemished apples, mix varieties for best flavor, water, 4 cups leftover apple pulp, 1 lemon, juiced, sweetener such as maple syrup, honey, or granulated sugar optional, spices, such as cinnamon, nutmeg, ginger, pumpkin pie blend","wash and quarter apples no need to peel or core and toss them into a large pot . note if you have your own orchard, do not use windfalls for juice . damaged windfalls can be contaminated by wild animal droppings . pour in enough water to cover the apples . careful not to use too much water or the juice will be over diluted.bring the apples and water to the boil and cook until the fruit becomes soft about 15 minutes . mash the apples with a potato masher or the back of a spoon and leave to cool completely . ladle the pulp into cheesecloth and hang over a large bowl to drain . alternatively, you can set the cheesecloth into a colander and place it over a bowl . allow the juice to drain for several hours . chill and enjoy you can also freeze the juice for later use.to make fruit leather with leftover apple pulp, heat your oven to its lowest setting, no higher than 170 degrees . press the apple pulp through a food mill or mesh strainer to remove the seeds and skin . to the strained pulp, add half the lemon juice and sweetener if desired . if using granulated sugar you'll need to heat it together with the apple pulp in a saucepan till dissolved . add desired spices and taste . adjust the flavoring if needed.line a baking sheet with parchment or a silicone mat . place the puree on the baking sheet and smooth out to about 1/4 inch . heat in the low heat oven until thoroughly dried about 12 hours . place the fruit leather on a sheet of plastic wrap and roll . store in the fridge or freezer."
