,Name,Count,Flag
0,TASTE,103,Stopwords
1,ADD,598,Stopwords
2,REMOVE,333,Stopwords
3,PEEL,28,Clean
4,SPOON,5,Clean
5,FILL,31,Clean
6,REDUCE,143,Clean
7,RETURN,20,Clean
8,MEDIUM,47,Stopwords
9,COVER,64,Clean
10,BAKE,96,Clean
11,PAN,18,Clean
12,CUT,105,Stopwords
13,COOK,173,Stopwords
14,ALONG,1,Clean
15,CONTINUE,68,Stopwords
16,STIR,47,Clean
17,SET,129,Stopwords
18,HELP,22,Clean
19,SPREAD,19,Stopwords
20,SEE,79,Stopwords
21,COOL,128,Clean
22,CARVE,1,Clean
23,SERVE,162,Clean
24,SPRAY,49,Stopwords
25,PACKAGE,9,Stopwords
26,BRING,63,Stopwords
27,SIMMER,22,Clean
28,LET,231,Stopwords
29,THICKEN,16,Clean
30,TOP,16,Clean
31,TOSS,17,Clean
32,USE,91,Stopwords
33,BE,215,Stopwords
34,LADLE,2,Clean
35,DRAIN,43,Clean
36,ENJOY,9,Clean
37,FREEZE,16,Clean
38,MAKE,155,Stopwords
39,HEAT,19,Clean
40,PRESS,7,Clean
41,SMOOTH,8,Clean
42,CORE,1,Clean
43,PASTRY,1,Clean
44,BROWN,39,Stopwords
45,MIX,63,Stopwords
46,TAKE,62,Stopwords
47,CREATE,26,Clean
48,SEAL,16,Clean
49,BRUSH,10,Clean
50,E,1,Clean
51,BOIL,35,Clean
52,COAT,89,Clean
53,RUB,11,Clean
54,LOOSEN,6,Clean
55,SAUCEPAN,2,Clean
56,INCREASE,13,Clean
57,FROZEN,2,Stopwords
58,THAW,4,Clean
59,KEEP,102,Stopwords
60,TELL,1,Clean
61,FLIP,19,Clean
62,PUT,31,Clean
63,STUFF,5,Clean
64,WRAP,4,Clean
65,FRY,22,Clean
66,START,15,Clean
67,TRY,10,Clean
68,GIVE,18,Clean
69,TURN,66,Clean
70,COMBINE,92,Clean
71,LEAVE,14,Clean
72,REST,48,Clean
73,RELEASE,20,Clean
74,BLEND,32,Clean
75,DO,12,Clean
76,BURN,17,Clean
77,ICY,1,Clean
78,BOWL,13,Clean
79,DRIZZLE,16,Clean
80,FIND,8,Clean
81,CHECK,14,Clean
82,RUN,16,Clean
83,HOLD,11,Clean
84,MASH,7,Clean
85,FIT,15,Clean
86,SOFTEN,11,Clean
87,REFRIGERATE,42,Clean
88,F,66,Stopwords
89,BROIL,13,Clean
90,SCOOP,8,Clean
91,OVEN,7,Clean
92,EAT,15,Clean
93,CHICKEN,8,Clean
94,FORM,26,Clean
95,FLATTEN,5,Clean
96,ALLOW,67,Clean
97,SAUTE,22,Clean
98,MELT,16,Clean
99,THROW,7,Clean
100,INSERT,9,Clean
101,GUIDE,3,Clean
102,NEED,27,Clean
103,STOP,12,Clean
104,SCRAPE,16,Clean
105,PLACE,53,Clean
106,WARM,17,Clean
107,PLUMP,2,Clean
108,MINCE,5,Clean
109,ROLL,29,Clean
110,GREASE,20,Clean
111,POUR,22,Clean
112,OVERMIX,7,Clean
113,CAKE,7,Clean
114,HANDLE,10,Clean
115,INCORPORATE,6,Clean
116,WORK,14,Clean
117,CREAM,5,Stopwords
118,PULL,7,Clean
119,YES,1,Stopwords
120,MICROWAVE,11,Clean
121,DIVIDE,8,Clean
122,PEPPER,5,Stopwords
123,STAND,47,Clean
124,TRANSFER,52,Clean
125,CRUSH,5,Clean
126,MAYONNAISE,1,Clean
127,LETTUCE,1,Clean
128,HALFWAY,1,Clean
129,SPRINKLE,37,Clean
130,GET,34,Stopwords
131,SKIP,5,Clean
132,THOROUGHLY,7,Clean
133,PREPARE,44,Clean
134,FINISH,10,Clean
135,DUTCH,6,Clean
136,BEEF,1,Clean
137,LOW,7,Stopwords
138,DRY,9,Stopwords
139,BUTTER,4,Stopwords
140,TENDER,3,Clean
141,TILL,22,Clean
142,GO,12,Clean
143,BURNED,1,Clean
144,SOAK,13,Clean
145,REVIVE,1,Clean
146,END,9,Clean
147,MASSAGE,4,Clean
148,STORE,6,Clean
149,PLATE,4,Clean
150,SQUEEZE,9,Clean
151,MEANWHILE,6,Clean
152,SAUCE,20,Stopwords
