,Name,Count,Flag
0,"('FILL', 'REMOVE')",7,Stopwords
1,"('FILL', 'ADD')",16,Stopwords
2,"('FILL', 'PEEL')",1,Clean
3,"('FILL', 'TASTE')",1,Stopwords
4,"('FILL', 'SPOON')",1,Clean
5,"('REMOVE', 'ADD')",72,Stopwords
6,"('REMOVE', 'PEEL')",11,Stopwords
7,"('REMOVE', 'TASTE')",14,Stopwords
8,"('REMOVE', 'SPOON')",3,Stopwords
9,"('ADD', 'PEEL')",10,Stopwords
10,"('ADD', 'TASTE')",31,Stopwords
11,"('ADD', 'SPOON')",3,Stopwords
12,"('PEEL', 'TASTE')",2,Stopwords
13,"('PEEL', 'SPOON')",1,Clean
14,"('TASTE', 'SPOON')",2,Stopwords
15,"('REDUCE', 'COVER')",3,Clean
16,"('REDUCE', 'ADD')",18,Stopwords
17,"('REDUCE', 'RETURN')",4,Clean
18,"('REDUCE', 'BAKE')",4,Clean
19,"('REDUCE', 'MEDIUM')",9,Stopwords
20,"('COVER', 'ADD')",24,Stopwords
21,"('COVER', 'RETURN')",2,Clean
22,"('COVER', 'BAKE')",6,Clean
23,"('COVER', 'MEDIUM')",3,Stopwords
24,"('ADD', 'RETURN')",13,Stopwords
25,"('ADD', 'BAKE')",31,Stopwords
26,"('ADD', 'MEDIUM')",9,Stopwords
27,"('RETURN', 'BAKE')",3,Clean
28,"('RETURN', 'MEDIUM')",3,Stopwords
29,"('BAKE', 'MEDIUM')",2,Stopwords
30,"('CUT', 'COOK')",14,Stopwords
31,"('CUT', 'STIR')",8,Stopwords
32,"('CUT', 'COVER')",4,Stopwords
33,"('CUT', 'PAN')",1,Stopwords
34,"('CUT', 'CONTINUE')",11,Stopwords
35,"('CUT', 'ALONG')",1,Stopwords
36,"('COOK', 'STIR')",13,Stopwords
37,"('COOK', 'COVER')",18,Stopwords
38,"('COOK', 'PAN')",5,Stopwords
39,"('COOK', 'CONTINUE')",16,Stopwords
40,"('COOK', 'ALONG')",1,Stopwords
41,"('STIR', 'COVER')",4,Clean
42,"('STIR', 'PAN')",3,Clean
43,"('STIR', 'CONTINUE')",7,Stopwords
44,"('STIR', 'ALONG')",1,Clean
45,"('COVER', 'PAN')",3,Clean
46,"('COVER', 'CONTINUE')",6,Stopwords
47,"('COVER', 'ALONG')",1,Clean
48,"('PAN', 'CONTINUE')",3,Stopwords
49,"('PAN', 'ALONG')",1,Clean
50,"('CONTINUE', 'ALONG')",1,Stopwords
51,"('COOL', 'SET')",25,Stopwords
52,"('COOL', 'SPREAD')",3,Stopwords
53,"('COOL', 'SEE')",33,Stopwords
54,"('COOL', 'SERVE')",25,Clean
55,"('COOL', 'HELP')",6,Clean
56,"('COOL', 'CARVE')",1,Clean
57,"('SET', 'SPREAD')",5,Stopwords
58,"('SET', 'SEE')",13,Stopwords
59,"('SET', 'SERVE')",23,Stopwords
60,"('SET', 'HELP')",2,Stopwords
61,"('SET', 'CARVE')",1,Stopwords
62,"('SPREAD', 'SEE')",5,Stopwords
63,"('SPREAD', 'SERVE')",5,Stopwords
64,"('SPREAD', 'HELP')",1,Stopwords
65,"('SPREAD', 'CARVE')",1,Stopwords
66,"('SEE', 'SERVE')",13,Stopwords
67,"('SEE', 'HELP')",1,Stopwords
68,"('SEE', 'CARVE')",1,Stopwords
69,"('SERVE', 'HELP')",3,Clean
70,"('SERVE', 'CARVE')",1,Clean
71,"('HELP', 'CARVE')",1,Clean
72,"('SPRAY', 'PACKAGE')",1,Stopwords
73,"('ADD', 'TOP')",3,Stopwords
74,"('ADD', 'THICKEN')",9,Stopwords
75,"('ADD', 'SIMMER')",12,Stopwords
76,"('ADD', 'SERVE')",57,Stopwords
77,"('ADD', 'LET')",50,Stopwords
78,"('ADD', 'BRING')",25,Stopwords
79,"('TOP', 'THICKEN')",2,Clean
80,"('TOP', 'SIMMER')",2,Clean
81,"('TOP', 'SERVE')",2,Clean
82,"('TOP', 'LET')",6,Stopwords
83,"('TOP', 'BRING')",3,Stopwords
84,"('THICKEN', 'SIMMER')",1,Clean
85,"('THICKEN', 'SERVE')",2,Clean
86,"('THICKEN', 'LET')",2,Stopwords
87,"('THICKEN', 'BRING')",2,Stopwords
88,"('SIMMER', 'SERVE')",3,Clean
89,"('SIMMER', 'LET')",4,Stopwords
90,"('SIMMER', 'BRING')",5,Stopwords
91,"('SERVE', 'LET')",30,Stopwords
92,"('SERVE', 'BRING')",10,Stopwords
93,"('LET', 'BRING')",11,Stopwords
94,"('COOK', 'SET')",25,Stopwords
95,"('COOK', 'ADD')",85,Stopwords
96,"('COOK', 'SIMMER')",5,Stopwords
97,"('COOK', 'REDUCE')",32,Stopwords
98,"('SET', 'ADD')",57,Stopwords
99,"('SET', 'SIMMER')",4,Stopwords
100,"('SET', 'REDUCE')",18,Stopwords
101,"('ADD', 'REDUCE')",40,Stopwords
102,"('SIMMER', 'REDUCE')",6,Clean
103,"('COOL', 'SMOOTH')",6,Clean
104,"('COOL', 'USE')",12,Stopwords
105,"('COOL', 'PRESS')",2,Clean
106,"('COOL', 'MAKE')",16,Stopwords
107,"('COOL', 'COVER')",6,Clean
108,"('COOL', 'HEAT')",3,Clean
109,"('COOL', 'REMOVE')",30,Stopwords
110,"('COOL', 'ADD')",50,Stopwords
111,"('COOL', 'PEEL')",3,Clean
112,"('COOL', 'DRAIN')",8,Clean
113,"('COOL', 'ENJOY')",2,Clean
114,"('COOL', 'FREEZE')",4,Clean
115,"('COOL', 'TOSS')",1,Clean
116,"('COOL', 'LADLE')",1,Clean
117,"('COOL', 'BE')",35,Stopwords
118,"('SMOOTH', 'SET')",2,Stopwords
