,Name,Count,Flag
0,"('MEDIUM', 'CRAB')",1,Stopwords
1,"('CRAB', 'MEAT')",2,Clean
2,"('MEAT', 'ONION')",1,Stopwords
3,"('ONION', 'LIME')",1,Stopwords
4,"('LIME', 'JUICE')",30,Stopwords
5,"('JUICE', 'GRAPE')",1,Stopwords
6,"('GRAPE', 'OIL')",1,Stopwords
7,"('OIL', 'SALT')",27,Stopwords
8,"('SALT', 'PEPPER')",121,Stopwords
9,"('PEPPER', 'BUTTER')",5,Stopwords
10,"('BUTTER', 'LETTUCE')",4,Stopwords
11,"('SAUSAGE', 'OIL')",3,Stopwords
12,"('OIL', 'CUP')",77,Stopwords
13,"('CUP', 'ONION')",56,Stopwords
14,"('ONION', 'MEDIUM')",9,Stopwords
15,"('MEDIUM', 'PEPPER')",3,Stopwords
16,"('PEPPER', 'MEDIUM')",6,Stopwords
17,"('PEPPER', 'CUP')",37,Stopwords
18,"('CUP', 'SAUCE')",15,Stopwords
19,"('SAUCE', 'WATER')",1,Stopwords
20,"('WATER', 'KOSHER')",4,Stopwords
21,"('KOSHER', 'SALT')",136,Stopwords
22,"('SALT', 'CHEESE')",2,Stopwords
23,"('CHEESE', 'WHEAT')",1,Clean
24,"('POUND', 'PORK')",36,Stopwords
25,"('PORK', 'TENDERLOIN')",6,Clean
26,"('TENDERLOIN', 'TEASPOON')",3,Stopwords
27,"('TEASPOON', 'OIL')",27,Stopwords
28,"('SALT', 'SWEET')",1,Stopwords
29,"('SWEET', 'WATER')",1,Stopwords
30,"('WATER', 'ONION')",2,Stopwords
31,"('ONION', 'TABLESPOON')",25,Stopwords
32,"('TABLESPOON', 'TABLESPOON')",42,Stopwords
33,"('TABLESPOON', 'CORNSTARCH')",12,Stopwords
34,"('CORNSTARCH', 'CUP')",5,Stopwords
35,"('CUP', 'WINE')",19,Stopwords
36,"('WINE', 'CUP')",3,Stopwords
37,"('SPIRAL', 'BONE')",1,Clean
38,"('BONE', 'CUP')",4,Stopwords
39,"('CUP', 'MUSTARD')",3,Stopwords
40,"('MUSTARD', 'TABLESPOON')",6,Stopwords
41,"('TABLESPOON', 'BUTTER')",52,Stopwords
42,"('BUTTER', 'TEASPOON')",20,Stopwords
43,"('TEASPOON', 'HONEY')",11,Stopwords
44,"('HONEY', 'TEASPOON')",10,Stopwords
45,"('TEASPOON', 'POWDER')",69,Stopwords
46,"('POWDER', 'TEASPOON')",81,Stopwords
47,"('TEASPOON', 'ONION')",8,Stopwords
48,"('ONION', 'POWDER')",11,Stopwords
49,"('TEASPOON', 'PAPRIKA')",3,Stopwords
50,"('OUNCE', 'BROWNIE')",2,Stopwords
51,"('BROWNIE', 'CUP')",2,Stopwords
52,"('CUP', 'PEANUT')",9,Stopwords
53,"('PEANUT', 'BUTTER')",20,Stopwords
54,"('BUTTER', 'VANILLA')",3,Stopwords
55,"('VANILLA', 'ICE')",8,Clean
56,"('ICE', 'CREAM')",18,Stopwords
57,"('CREAM', 'CUP')",29,Stopwords
58,"('CUP', 'CUP')",193,Stopwords
59,"('CUP', 'CHOCOLATE')",13,Stopwords
60,"('CHOCOLATE', 'SYRUP')",4,Clean
61,"('SHRIMP', 'OIL')",1,Stopwords
62,"('OIL', 'BELL')",2,Stopwords
63,"('BELL', 'CUP')",10,Stopwords
64,"('CUP', 'TEASPOON')",64,Stopwords
65,"('TEASPOON', 'KOSHER')",49,Stopwords
66,"('PEPPER', 'MILK')",1,Stopwords
67,"('MILK', 'LIME')",1,Clean
68,"('PORK', 'TEASPOON')",5,Stopwords
69,"('TEASPOON', 'CUP')",32,Stopwords
70,"('CUP', 'I')",3,Stopwords
71,"('I', 'SPREAD')",3,Stopwords
72,"('SPREAD', 'ONION')",3,Stopwords
73,"('ONION', 'PINCH')",3,Stopwords
74,"('PINCH', 'GROUND')",3,Stopwords
75,"('GROUND', 'CINNAMON')",13,Stopwords
76,"('CINNAMON', 'APPLE')",2,Clean
77,"('APPLE', 'CUP')",3,Stopwords
78,"('CUP', 'APPLE')",8,Stopwords
79,"('APPLE', 'JUICE')",2,Stopwords
80,"('TABLESPOON', 'OIL')",114,Stopwords
81,"('OIL', 'ONION')",35,Stopwords
82,"('ONION', 'CUP')",53,Stopwords
83,"('WINE', 'JAR')",2,Stopwords
84,"('JAR', 'OIL')",2,Stopwords
85,"('OIL', 'BASIL')",2,Stopwords
86,"('BASIL', 'SAUCE')",2,Stopwords
87,"('SAUCE', 'TEASPOON')",29,Stopwords
88,"('TEASPOON', 'ROSEMARY')",1,Stopwords
89,"('MIX', 'FLAVOR')",1,Stopwords
90,"('FLAVOR', 'WATER')",1,Stopwords
91,"('WATER', 'LEFTOVER')",1,Stopwords
