,Name,Count,Flag
0,MEDIUM,84,Stopwords
1,CRAB,2,Clean
2,MEAT,10,Clean
3,ONION,239,Stopwords
4,LIME,51,Clean
5,JUICE,156,Stopwords
6,GRAPE,18,Clean
7,OIL,477,Stopwords
8,SALT,552,Stopwords
9,PEPPER,398,Stopwords
10,BUTTER,181,Stopwords
11,LETTUCE,28,Clean
12,SAUSAGE,23,Clean
13,CUP,1626,Stopwords
14,SAUCE,177,Stopwords
15,WATER,177,Stopwords
16,KOSHER,142,Stopwords
17,CHEESE,111,Clean
18,WHEAT,34,Clean
19,POUND,236,Stopwords
20,PORK,102,Clean
21,TENDERLOIN,6,Clean
22,TEASPOON,1066,Stopwords
23,SWEET,22,Stopwords
24,TABLESPOON,893,Stopwords
25,CORNSTARCH,30,Clean
26,WINE,52,Clean
27,SPIRAL,1,Clean
28,BONE,30,Clean
29,MUSTARD,29,Clean
30,HONEY,64,Clean
31,POWDER,182,Stopwords
32,PAPRIKA,9,Clean
33,OUNCE,289,Stopwords
34,BROWNIE,4,Clean
35,PEANUT,25,Clean
36,VANILLA,125,Clean
37,ICE,34,Clean
38,CREAM,148,Stopwords
39,CHOCOLATE,61,Clean
40,SYRUP,30,Clean
41,SHRIMP,14,Clean
42,BELL,58,Stopwords
43,MILK,139,Clean
44,I,14,Clean
45,SPREAD,18,Stopwords
46,PINCH,73,Stopwords
47,GROUND,255,Stopwords
48,CINNAMON,63,Clean
49,APPLE,27,Clean
50,JAR,14,Stopwords
51,BASIL,53,Clean
52,ROSEMARY,7,Clean
53,MIX,27,Stopwords
54,FLAVOR,9,Clean
55,LEFTOVER,9,Stopwords
56,PULP,2,Clean
57,SWEETENER,3,Clean
58,NUTMEG,9,Clean
59,GINGER,101,Clean
60,PIE,14,Clean
61,BLEND,5,Clean
62,SHEET,4,Clean
63,PUFF,2,Clean
64,PASTRY,3,Clean
65,EGG,121,Clean
66,HANDFUL,9,Stopwords
67,SHOULDER,14,Clean
68,CORN,62,Clean
69,SOUR,2,Clean
70,CELERY,32,Clean
71,PARSLEY,52,Clean
72,SODIUM,35,Clean
73,CHICKEN,132,Clean
74,TURKEY,36,Clean
75,BREAST,33,Clean
76,FROZEN,8,Stopwords
77,COOKING,28,Stopwords
78,SPRAY,76,Stopwords
79,NONE,287,Stopwords
80,COUNTRY,5,Clean
81,STYLE,14,Stopwords
82,VINEGAR,80,Clean
83,SUGAR,235,Stopwords
84,CLOVER,3,Clean
85,ORANGE,37,Stopwords
86,SMOKE,4,Clean
87,POINT,2,Clean
