,Name,Count,Flag
0,"('JUICE', 'MEAT')",1,Stopwords
1,"('JUICE', 'ONION')",39,Stopwords
2,"('JUICE', 'MEDIUM')",11,Stopwords
3,"('JUICE', 'LETTUCE')",9,Stopwords
4,"('JUICE', 'CRAB')",1,Stopwords
5,"('JUICE', 'SALT')",65,Stopwords
6,"('JUICE', 'OIL')",54,Stopwords
7,"('JUICE', 'GRAPE')",6,Stopwords
8,"('JUICE', 'LIME')",31,Stopwords
9,"('JUICE', 'PEPPER')",56,Stopwords
10,"('JUICE', 'BUTTER')",24,Stopwords
11,"('MEAT', 'ONION')",6,Stopwords
12,"('MEAT', 'MEDIUM')",3,Stopwords
13,"('MEAT', 'LETTUCE')",1,Clean
14,"('MEAT', 'CRAB')",2,Clean
15,"('MEAT', 'SALT')",8,Stopwords
16,"('MEAT', 'OIL')",6,Stopwords
17,"('MEAT', 'GRAPE')",2,Clean
18,"('MEAT', 'LIME')",2,Clean
19,"('MEAT', 'PEPPER')",8,Stopwords
20,"('MEAT', 'BUTTER')",1,Stopwords
21,"('ONION', 'MEDIUM')",32,Stopwords
22,"('ONION', 'LETTUCE')",6,Stopwords
23,"('ONION', 'CRAB')",2,Stopwords
24,"('ONION', 'SALT')",123,Stopwords
25,"('ONION', 'OIL')",124,Stopwords
26,"('ONION', 'GRAPE')",9,Stopwords
27,"('ONION', 'LIME')",11,Stopwords
28,"('ONION', 'PEPPER')",109,Stopwords
29,"('ONION', 'BUTTER')",18,Stopwords
30,"('MEDIUM', 'LETTUCE')",2,Stopwords
31,"('MEDIUM', 'CRAB')",1,Stopwords
32,"('MEDIUM', 'SALT')",4,Stopwords
33,"('MEDIUM', 'OIL')",2,Stopwords
34,"('MEDIUM', 'GRAPE')",2,Stopwords
35,"('MEDIUM', 'LIME')",3,Stopwords
36,"('MEDIUM', 'PEPPER')",43,Stopwords
37,"('MEDIUM', 'BUTTER')",8,Stopwords
38,"('LETTUCE', 'CRAB')",1,Clean
39,"('LETTUCE', 'SALT')",5,Stopwords
40,"('LETTUCE', 'OIL')",7,Stopwords
41,"('LETTUCE', 'GRAPE')",4,Clean
42,"('LETTUCE', 'LIME')",3,Clean
43,"('LETTUCE', 'PEPPER')",9,Stopwords
44,"('LETTUCE', 'BUTTER')",6,Stopwords
45,"('CRAB', 'SALT')",2,Stopwords
46,"('CRAB', 'OIL')",2,Stopwords
47,"('CRAB', 'GRAPE')",2,Clean
48,"('CRAB', 'LIME')",1,Clean
49,"('CRAB', 'PEPPER')",2,Stopwords
50,"('CRAB', 'BUTTER')",1,Stopwords
51,"('SALT', 'OIL')",237,Stopwords
52,"('SALT', 'GRAPE')",9,Stopwords
53,"('SALT', 'LIME')",21,Stopwords
54,"('SALT', 'PEPPER')",222,Stopwords
55,"('SALT', 'BUTTER')",103,Stopwords
56,"('OIL', 'GRAPE')",10,Stopwords
57,"('OIL', 'LIME')",21,Stopwords
58,"('OIL', 'PEPPER')",194,Stopwords
59,"('OIL', 'BUTTER')",49,Stopwords
60,"('GRAPE', 'LIME')",1,Clean
61,"('GRAPE', 'PEPPER')",8,Stopwords
62,"('GRAPE', 'BUTTER')",4,Stopwords
63,"('LIME', 'PEPPER')",18,Stopwords
64,"('LIME', 'BUTTER')",2,Stopwords
65,"('PEPPER', 'BUTTER')",38,Stopwords
66,"('CHEESE', 'SAUSAGE')",3,Clean
67,"('CHEESE', 'WATER')",15,Stopwords
68,"('CHEESE', 'ONION')",35,Stopwords
69,"('CHEESE', 'SAUCE')",10,Stopwords
70,"('CHEESE', 'KOSHER')",21,Stopwords
71,"('CHEESE', 'WHEAT')",6,Clean
72,"('CHEESE', 'SALT')",65,Stopwords
73,"('CHEESE', 'OIL')",44,Stopwords
74,"('CHEESE', 'CUP')",75,Stopwords
75,"('CHEESE', 'MEDIUM')",15,Stopwords
76,"('CHEESE', 'PEPPER')",44,Stopwords
77,"('SAUSAGE', 'WATER')",6,Stopwords
78,"('SAUSAGE', 'ONION')",12,Stopwords
79,"('SAUSAGE', 'SAUCE')",3,Stopwords
80,"('SAUSAGE', 'KOSHER')",5,Stopwords
81,"('SAUSAGE', 'WHEAT')",3,Clean
82,"('SAUSAGE', 'SALT')",10,Stopwords
83,"('SAUSAGE', 'OIL')",12,Stopwords
84,"('SAUSAGE', 'CUP')",15,Stopwords
85,"('SAUSAGE', 'MEDIUM')",3,Stopwords
86,"('SAUSAGE', 'PEPPER')",12,Stopwords
87,"('WATER', 'ONION')",45,Stopwords
88,"('WATER', 'SAUCE')",17,Stopwords
89,"('WATER', 'KOSHER')",20,Stopwords
90,"('WATER', 'WHEAT')",7,Stopwords
91,"('WATER', 'SALT')",69,Stopwords
92,"('WATER', 'OIL')",57,Stopwords
93,"('WATER', 'CUP')",131,Stopwords
94,"('WATER', 'MEDIUM')",5,Stopwords
95,"('WATER', 'PEPPER')",40,Stopwords
96,"('ONION', 'SAUCE')",24,Stopwords
97,"('ONION', 'KOSHER')",40,Stopwords
98,"('ONION', 'WHEAT')",15,Stopwords
99,"('ONION', 'CUP')",176,Stopwords
100,"('SAUCE', 'KOSHER')",15,Stopwords
101,"('SAUCE', 'WHEAT')",6,Stopwords
102,"('SAUCE', 'SALT')",53,Stopwords
103,"('SAUCE', 'OIL')",79,Stopwords
104,"('SAUCE', 'CUP')",110,Stopwords
105,"('SAUCE', 'MEDIUM')",12,Stopwords
106,"('SAUCE', 'PEPPER')",50,Stopwords
107,"('KOSHER', 'WHEAT')",12,Stopwords
108,"('KOSHER', 'SALT')",126,Stopwords
109,"('KOSHER', 'OIL')",70,Stopwords
110,"('KOSHER', 'CUP')",97,Stopwords
111,"('KOSHER', 'MEDIUM')",26,Stopwords
112,"('KOSHER', 'PEPPER')",74,Stopwords
113,"('WHEAT', 'SALT')",20,Stopwords
114,"('WHEAT', 'OIL')",17,Stopwords
115,"('WHEAT', 'CUP')",27,Stopwords
116,"('WHEAT', 'MEDIUM')",2,Stopwords
117,"('WHEAT', 'PEPPER')",10,Stopwords
118,"('SALT', 'CUP')",336,Stopwords
119,"('SALT', 'MEDIUM')",51,Stopwords
120,"('OIL', 'CUP')",272,Stopwords
121,"('OIL', 'MEDIUM')",41,Stopwords
122,"('CUP', 'MEDIUM')",37,Stopwords
123,"('CUP', 'PEPPER')",204,Stopwords
124,"('TEASPOON', 'TENDERLOIN')",4,Stopwords
125,"('TEASPOON', 'POUND')",130,Stopwords
126,"('TEASPOON', 'WATER')",78,Stopwords
127,"('TEASPOON', 'CORNSTARCH')",20,Stopwords
128,"('TEASPOON', 'ONION')",124,Stopwords
129,"('TEASPOON', 'SWEET')",13,Stopwords
130,"('TEASPOON', 'TABLESPOON')",284,Stopwords
131,"('TEASPOON', 'SALT')",250,Stopwords
132,"('TEASPOON', 'OIL')",211,Stopwords
133,"('TEASPOON', 'CUP')",330,Stopwords
134,"('TEASPOON', 'WINE')",28,Stopwords
135,"('TEASPOON', 'PORK')",57,Stopwords
136,"('TENDERLOIN', 'POUND')",2,Stopwords
137,"('TENDERLOIN', 'WATER')",2,Stopwords
138,"('TENDERLOIN', 'CORNSTARCH')",1,Clean
139,"('TENDERLOIN', 'ONION')",3,Stopwords
140,"('TENDERLOIN', 'SWEET')",1,Stopwords
141,"('TENDERLOIN', 'TABLESPOON')",2,Stopwords
142,"('TENDERLOIN', 'SALT')",3,Stopwords
143,"('TENDERLOIN', 'OIL')",2,Stopwords
144,"('TENDERLOIN', 'CUP')",4,Stopwords
145,"('TENDERLOIN', 'WINE')",1,Clean
146,"('TENDERLOIN', 'PORK')",4,Clean
147,"('POUND', 'WATER')",18,Stopwords
148,"('POUND', 'CORNSTARCH')",3,Stopwords
149,"('POUND', 'ONION')",31,Stopwords
150,"('POUND', 'SWEET')",1,Stopwords
151,"('POUND', 'TABLESPOON')",31,Stopwords
152,"('POUND', 'SALT')",23,Stopwords
153,"('POUND', 'OIL')",23,Stopwords
154,"('POUND', 'CUP')",69,Stopwords
155,"('POUND', 'WINE')",4,Stopwords
156,"('POUND', 'PORK')",49,Stopwords
157,"('WATER', 'CORNSTARCH')",9,Stopwords
158,"('WATER', 'SWEET')",2,Stopwords
159,"('WATER', 'TABLESPOON')",71,Stopwords
160,"('WATER', 'WINE')",6,Stopwords
161,"('WATER', 'PORK')",15,Stopwords
162,"('CORNSTARCH', 'ONION')",5,Stopwords
163,"('CORNSTARCH', 'SWEET')",1,Stopwords
164,"('CORNSTARCH', 'TABLESPOON')",15,Stopwords
165,"('CORNSTARCH', 'SALT')",13,Stopwords
166,"('CORNSTARCH', 'OIL')",14,Stopwords
167,"('CORNSTARCH', 'CUP')",25,Stopwords
168,"('CORNSTARCH', 'WINE')",5,Clean
169,"('CORNSTARCH', 'PORK')",2,Clean
170,"('ONION', 'SWEET')",5,Stopwords
171,"('ONION', 'TABLESPOON')",42,Stopwords
172,"('ONION', 'WINE')",14,Stopwords
173,"('ONION', 'PORK')",20,Stopwords
174,"('SWEET', 'TABLESPOON')",6,Stopwords
175,"('SWEET', 'SALT')",14,Stopwords
176,"('SWEET', 'OIL')",17,Stopwords
177,"('SWEET', 'CUP')",14,Stopwords
178,"('SWEET', 'WINE')",2,Stopwords
179,"('SWEET', 'PORK')",4,Stopwords
180,"('TABLESPOON', 'SALT')",213,Stopwords
181,"('TABLESPOON', 'OIL')",187,Stopwords
182,"('TABLESPOON', 'CUP')",320,Stopwords
183,"('TABLESPOON', 'WINE')",34,Stopwords
184,"('TABLESPOON', 'PORK')",62,Stopwords
185,"('SALT', 'WINE')",27,Stopwords
186,"('SALT', 'PORK')",49,Stopwords
187,"('OIL', 'WINE')",30,Stopwords
188,"('OIL', 'PORK')",46,Stopwords
189,"('CUP', 'WINE')",23,Stopwords
190,"('CUP', 'PORK')",53,Stopwords
191,"('WINE', 'PORK')",13,Clean
192,"('TEASPOON', 'MUSTARD')",15,Stopwords
193,"('TEASPOON', 'HONEY')",30,Stopwords
194,"('TEASPOON', 'PAPRIKA')",5,Stopwords
195,"('TEASPOON', 'POWDER')",108,Stopwords
196,"('TEASPOON', 'SPIRAL')",1,Stopwords
197,"('TEASPOON', 'BONE')",10,Stopwords
198,"('TEASPOON', 'BUTTER')",97,Stopwords
199,"('MUSTARD', 'HONEY')",9,Clean
200,"('MUSTARD', 'PAPRIKA')",2,Clean
201,"('MUSTARD', 'TABLESPOON')",15,Stopwords
202,"('MUSTARD', 'ONION')",9,Stopwords
203,"('MUSTARD', 'POWDER')",4,Stopwords
204,"('MUSTARD', 'SPIRAL')",1,Clean
205,"('MUSTARD', 'BONE')",1,Clean
206,"('MUSTARD', 'CUP')",25,Stopwords
207,"('MUSTARD', 'BUTTER')",5,Stopwords
208,"('HONEY', 'PAPRIKA')",2,Clean
209,"('HONEY', 'TABLESPOON')",29,Stopwords
210,"('HONEY', 'ONION')",7,Stopwords
211,"('HONEY', 'POWDER')",3,Stopwords
212,"('HONEY', 'SPIRAL')",1,Clean
213,"('HONEY', 'BONE')",2,Clean
214,"('HONEY', 'CUP')",50,Stopwords
215,"('HONEY', 'BUTTER')",6,Stopwords
216,"('PAPRIKA', 'TABLESPOON')",3,Stopwords
217,"('PAPRIKA', 'ONION')",3,Stopwords
218,"('PAPRIKA', 'POWDER')",2,Stopwords
219,"('PAPRIKA', 'SPIRAL')",1,Clean
220,"('PAPRIKA', 'BONE')",1,Clean
221,"('PAPRIKA', 'CUP')",7,Stopwords
222,"('PAPRIKA', 'BUTTER')",1,Stopwords
223,"('TABLESPOON', 'ONION')",89,Stopwords
224,"('TABLESPOON', 'POWDER')",82,Stopwords
225,"('TABLESPOON', 'SPIRAL')",1,Stopwords
226,"('TABLESPOON', 'BONE')",15,Stopwords
227,"('TABLESPOON', 'BUTTER')",90,Stopwords
228,"('ONION', 'POWDER')",25,Stopwords
229,"('ONION', 'SPIRAL')",1,Stopwords
230,"('ONION', 'BONE')",13,Stopwords
231,"('POWDER', 'SPIRAL')",1,Stopwords
232,"('POWDER', 'BONE')",1,Stopwords
233,"('POWDER', 'CUP')",113,Stopwords
234,"('POWDER', 'BUTTER')",36,Stopwords
235,"('SPIRAL', 'BONE')",1,Clean
236,"('SPIRAL', 'CUP')",1,Stopwords
237,"('SPIRAL', 'BUTTER')",1,Stopwords
238,"('BONE', 'CUP')",26,Stopwords
239,"('BONE', 'BUTTER')",5,Stopwords
240,"('CUP', 'BUTTER')",109,Stopwords
241,"('PEANUT', 'SYRUP')",1,Clean
242,"('PEANUT', 'CREAM')",4,Stopwords
243,"('PEANUT', 'BROWNIE')",1,Clean
244,"('PEANUT', 'OUNCE')",3,Stopwords
245,"('PEANUT', 'VANILLA')",6,Clean
246,"('PEANUT', 'ICE')",1,Clean
247,"('PEANUT', 'CUP')",15,Stopwords
248,"('PEANUT', 'CHOCOLATE')",4,Clean
249,"('PEANUT', 'BUTTER')",20,Stopwords
250,"('SYRUP', 'CREAM')",6,Stopwords
251,"('SYRUP', 'BROWNIE')",1,Clean
252,"('SYRUP', 'OUNCE')",4,Stopwords
253,"('SYRUP', 'VANILLA')",11,Clean
254,"('SYRUP', 'ICE')",5,Clean
255,"('SYRUP', 'CUP')",22,Stopwords
256,"('SYRUP', 'CHOCOLATE')",8,Clean
257,"('SYRUP', 'BUTTER')",10,Stopwords
258,"('CREAM', 'BROWNIE')",3,Stopwords
259,"('CREAM', 'OUNCE')",28,Stopwords
260,"('CREAM', 'VANILLA')",34,Stopwords
261,"('CREAM', 'ICE')",18,Stopwords
262,"('CREAM', 'CUP')",97,Stopwords
263,"('CREAM', 'CHOCOLATE')",15,Stopwords
264,"('CREAM', 'BUTTER')",29,Stopwords
265,"('BROWNIE', 'OUNCE')",3,Stopwords
266,"('BROWNIE', 'VANILLA')",2,Clean
267,"('BROWNIE', 'ICE')",3,Clean
268,"('BROWNIE', 'CUP')",4,Stopwords
269,"('BROWNIE', 'CHOCOLATE')",2,Clean
270,"('BROWNIE', 'BUTTER')",1,Stopwords
271,"('OUNCE', 'VANILLA')",11,Stopwords
272,"('OUNCE', 'ICE')",7,Stopwords
273,"('OUNCE', 'CUP')",152,Stopwords
274,"('OUNCE', 'CHOCOLATE')",9,Stopwords
275,"('OUNCE', 'BUTTER')",26,Stopwords
276,"('VANILLA', 'ICE')",8,Clean
277,"('VANILLA', 'CUP')",83,Stopwords
278,"('VANILLA', 'CHOCOLATE')",23,Clean
279,"('VANILLA', 'BUTTER')",43,Stopwords
280,"('ICE', 'CUP')",26,Stopwords
281,"('ICE', 'CHOCOLATE')",7,Clean
282,"('ICE', 'BUTTER')",3,Stopwords
283,"('CUP', 'CHOCOLATE')",35,Stopwords
284,"('CHOCOLATE', 'BUTTER')",16,Stopwords
285,"('TEASPOON', 'BELL')",23,Stopwords
286,"('TEASPOON', 'KOSHER')",68,Stopwords
287,"('TEASPOON', 'MILK')",57,Stopwords
288,"('TEASPOON', 'SHRIMP')",7,Stopwords
289,"('TEASPOON', 'LIME')",22,Stopwords
290,"('TEASPOON', 'PEPPER')",184,Stopwords
291,"('BELL', 'KOSHER')",8,Stopwords
292,"('BELL', 'SALT')",25,Stopwords
293,"('BELL', 'OIL')",35,Stopwords
294,"('BELL', 'CUP')",38,Stopwords
295,"('BELL', 'MILK')",2,Stopwords
296,"('BELL', 'SHRIMP')",2,Stopwords
297,"('BELL', 'LIME')",3,Stopwords
298,"('BELL', 'PEPPER')",26,Stopwords
